time,num_particles,cell_id,temperature,atm_pressure,humidity,wind_direction,wind_speed,lat,lon
AUT,16625.352465331278,2962,13.744607087827427,763.29785,78.23074,12.871725731895225,2.0835901386748845,47.416304999999994,8.546232
SPR,17309.119107479568,2962,9.539283469516027,761.0407,71.87209,11.454902576995599,2.125078566939032,47.416304999999994,8.546232
SUM,14141.15283842795,2962,20.55749636098981,763.37885,65.5409,12.917321688500724,1.755458515283843,47.416304999999994,8.546232
WIN,24370.994863607968,2962,3.5491774831679046,760.3382,83.55438000000002,11.342888873464286,1.372110779482196,47.416304999999994,8.546232
AUT,15046.589505621987,5736,14.66339461003034,765.2842400000002,75.21007,12.752810994110297,1.3408888095663039,47.396601999999994,8.595974
SPR,8921.903364969801,5736,13.427092320966349,761.5575,62.719585,13.8809318377912,2.6954270923209664,47.396601999999994,8.595974
SUM,10895.137747097584,5736,21.222309381863827,762.9225,68.35361999999999,12.999843112645118,1.898650768748039,47.396601999999994,8.595974
WIN,16937.69324836376,5736,3.3153634171546678,760.9752,90.00689,10.284533241474337,1.1527729934550466,47.396601999999994,8.595974
AUT,17586.74683709404,6557,12.911177774879356,763.14185,79.93818,12.885744098082693,2.101734707186644,47.39038,8.539686999999999
SPR,15721.190266029178,6557,9.470761309304892,761.2368,72.150665,11.183400760083362,1.956111315434596,47.39038,8.539686999999999
SUM,14481.700516986706,6557,20.080009847365826,763.4029,67.08025,12.1890694239291,1.7375677006400787,47.39038,8.539686999999999
WIN,23044.90920269539,6557,3.3788795435541785,760.1110000000001,83.98048,11.190989129900153,1.401406718803797,47.39038,8.539686999999999
AUT,22306.51160299893,9272,11.366476258479116,763.70886,79.73188,12.188861121028204,1.9928596929667977,47.370677,8.512198
SPR,17811.956302151953,9272,10.20223978919631,760.4925,69.30259000000001,12.514492753623188,2.1842336407553797,47.370677,8.512198
SUM,16326.407855877142,9272,19.444181925575894,763.9949,66.166565,11.57028942705257,1.8387477849970464,47.370677,8.512198
WIN,30987.464793699302,9272,3.4023745151052074,760.5882,83.01893000000003,11.287057717174092,1.4831315387328083,47.370677,8.512198
AUT,16100.938734177214,4539,12.245569620253164,762.62177,81.12911,12.59113924050633,2.1402531645569622,47.404897999999996,8.537068999999999
SPR,14485.61702661979,4539,8.958814665996986,760.73926,74.03039,11.167252636865896,1.7872928176795582,47.404897999999996,8.537068999999999
SUM,14320.651276595745,4539,18.939574468085105,763.6103,69.06532,10.886382978723404,1.6872340425531915,47.404897999999996,8.537068999999999
WIN,16834.607500964135,4539,3.0596799074431162,760.0581,84.06508000000002,11.347281141534905,1.4999035865792518,47.404897999999996,8.537068999999999
AUT,15354.533019969636,8852,11.15415158238935,763.2272,80.82737,11.51891860329324,1.7723928529720892,47.373788,8.527906
SPR,11654.616836703522,8852,10.750870547987047,761.08,69.26788,12.65116989431242,2.122793084488973,47.373788,8.527906
SUM,11883.085619095433,8852,18.95746428734425,764.0339,67.753456,11.313586782894435,1.7798366117475242,47.373788,8.527906
WIN,19694.46869709272,8852,3.1078990005643443,760.4489,83.922646,10.99801569241412,1.423786204511114,47.373788,8.527906
AUT,22856.591954022988,7713,10.344827586206897,766.8695700000002,82.17241999999997,13.195402298850574,1.8678160919540232,47.382084,8.544922999999999
SPR,8857.711009174309,7713,5.871559633027522,762.16034,68.31651,7.112385321100918,2.1077981651376145,47.382084,8.544922999999999
SUM,12510.93661971831,7713,21.941901408450704,762.7125,65.89435999999999,12.302816901408448,1.7834507042253518,47.382084,8.544922999999999
WIN,24212.850122850123,7713,3.8378378378378377,760.4973,89.061424,11.24078624078624,1.108108108108108,47.382084,8.544922999999999
AUT,18647.55750371471,9836,10.610104011887072,763.2878,80.721245,10.59405646359584,1.9301634472511144,47.366529,8.49649
SPR,14439.825972313776,9836,9.823994726433751,757.7785,68.50824,13.61766644693474,2.713909030982202,47.366529,8.49649
SUM,16219.050439434466,9836,19.639281620175773,763.3834,70.658005,9.986625907527703,1.803591899121131,47.366529,8.49649
WIN,24307.320604160734,9836,2.6702764320319177,760.31604,84.349106,11.90424622399544,1.5320604160729552,47.366529,8.49649
AUT,14377.140359745566,9578,12.690130165550359,763.63055,79.11138000000003,11.492312228821769,1.6451830321412022,47.368603,8.53576
SPR,11346.830270270271,9578,10.162042042042044,761.1962,69.88985,11.733453453453453,2.117957957957958,47.368603,8.53576
SUM,11458.710759425301,9578,19.128659392891862,764.1774,69.22394,11.819595981419466,1.6116992546181268,47.368603,8.53576
WIN,19602.36620483564,9578,3.962781852757404,761.3696,82.32262,11.656041534607143,1.4808777807962812,47.368603,8.53576
AUT,15317.968263461862,8709,10.990804253967069,762.9834,80.779434,11.459450871913724,1.7322206231426276,47.374824999999994,8.529214999999999
SPR,11838.690206208137,8709,10.708637975570246,760.9626,69.62484,12.60461450899698,2.188389299943085,47.374824999999994,8.529214999999999
SUM,11585.47931326462,8709,18.98662734678385,763.9317599999998,67.68259,11.302665771263394,1.8245496218867705,47.374824999999994,8.529214999999999
WIN,19144.42261505434,8709,3.197124200545641,760.4849,83.5741,11.055112035421978,1.4179748647077242,47.374824999999994,8.529214999999999
AUT,16135.407407407407,7413,12.246913580246911,763.74445,79.97531,13.074074074074074,1.839506172839506,47.384158,8.529214999999999
SPR,12180.357142857143,7413,11.452380952380953,760.7167,70.2619,10.666666666666666,1.7857142857142858,47.384158,8.529214999999999
SUM,12805.909090909092,7413,19.727272727272727,764.4764,62.727272,13.50909090909091,1.7454545454545454,47.384158,8.529214999999999
WIN,20253.834645669293,7413,2.6220472440944884,761.3244,84.85826999999998,11.590551181102365,1.4566929133858268,47.384158,8.529214999999999
AUT,25144.916010498688,2106,16.569553805774277,764.1614400000002,71.561676,11.69028871391076,1.3070866141732282,47.422526999999995,8.556704
SPR,13003.254716981133,2106,13.915094339622641,761.76697,64.54717,14.61320754716981,2.556603773584906,47.422526999999995,8.556704
SUM,14696.441176470591,2106,18.147058823529417,765.7860000000002,69.61029,11.330882352941178,2.0661764705882355,47.422526999999995,8.556704
WIN,23179.591836734693,2106,2.4761904761904763,758.1864,89.30611999999998,8.925170068027212,1.1564625850340136,47.422526999999995,8.556704
AUT,18585.488137885648,8289,13.763269483842668,763.38605,77.73432,11.748281912560316,1.6535677730662377,47.377936,8.544922999999999
SPR,14376.211494995156,8289,9.610397158540524,762.4207,72.417114,10.759638359702938,2.0400387471746853,47.377936,8.544922999999999
SUM,13856.216324180372,8289,20.025749451182207,764.07947,68.67276,11.787526541188324,1.6582394644977867,47.377936,8.544922999999999
WIN,23006.89084106068,8289,2.9968277208394336,761.1539,84.5257,11.230234260614932,1.3823816495851635,47.377936,8.544922999999999
AUT,16431.86624692875,6104,10.265202702702704,762.31934,80.47359,12.196560196560194,2.3432125307125307,47.393491,8.512198
SPR,13371.966292134832,6104,11.394221508828249,763.2476,74.32938,11.80545746388443,1.4574638844301766,47.393491,8.512198
SUM,14351.394981721502,6104,18.189930209371887,764.6613,70.88152,11.476736457294786,1.5001661681621798,47.393491,8.512198
WIN,18552.78759335262,6104,2.2018435040032296,761.7984,86.10799,11.24887304043598,1.3507367287896117,47.393491,8.512198
AUT,21832.83883964545,6849,11.232070910556002,763.8606599999998,79.19178000000002,11.205479452054794,1.878323932312651,47.388306,8.544922999999999
SPR,14457.578431372549,6849,10.258823529411766,759.75,69.590195,13.150980392156866,2.2058823529411766,47.388306,8.544922999999999
SUM,16076.909797822706,6849,18.98911353032659,764.40607,67.1633,11.216174183514774,1.939346811819596,47.388306,8.544922999999999
WIN,30829.09574468085,6849,2.9904255319148936,760.68945,83.40319000000002,11.095744680851064,1.5797872340425532,47.388306,8.544922999999999
AUT,24992.197102024613,7239,10.85192536720921,763.37854,85.52699,9.107383882493053,2.2957522826518457,47.385194999999996,8.489944999999999
SPR,20447.737451737452,7239,15.506682506682507,767.06384,56.830116,14.615978615978616,1.0068310068310071,47.385194999999996,8.489944999999999
SUM,15894.624965171355,7239,18.025633881303985,763.51544,88.645584,14.71468375592087,1.5341320702145445,47.385194999999996,8.489944999999999
WIN,17778.845437616386,7239,10.150837988826815,764.6894,58.86592,12.226256983240225,2.3491620111731844,47.385194999999996,8.489944999999999
AUT,23559.937420449718,4969,12.249893932965634,762.5705,81.05621,12.592278319898176,2.113703860840052,47.401787,8.534450999999999
SPR,21088.749838257496,4969,9.025663144274317,760.95465,74.261375,11.07828337287039,1.7824024153547553,47.401787,8.534450999999999
SUM,19854.35205855444,4969,18.85654162854529,763.6215,69.27575999999999,10.867154620311071,1.6759377859103386,47.401787,8.534450999999999
WIN,25338.523555919703,4969,3.0151577222449815,760.118,84.29226,11.272347398607128,1.4997132322818516,47.401787,8.534450999999999
AUT,20208.036308006118,8116,10.542886282508924,762.0976,82.194084,11.118510963793984,1.623253442121367,47.378972999999995,8.506962
SPR,16946.355902777777,8116,11.184027777777779,761.7561,69.60677,12.892361111111107,2.1822916666666665,47.378972999999995,8.506962
SUM,14412.320640415403,8116,18.41944324246358,764.0379,69.354965,11.095629597576806,1.7161401990480312,47.378972999999995,8.506962
WIN,22928.539899728432,8116,3.0204721119699185,760.3594400000002,84.07415999999998,11.004909128890748,1.3599853770628787,47.378972999999995,8.506962
AUT,16996.330827067668,11190,11.504898610161767,762.5717,81.45477,12.098200045568467,2.013442697653224,47.357195999999995,8.572412
SPR,17881.484599106512,11190,8.862214907124383,760.94305,74.3668,11.63272983776158,1.8549259346343758,47.357195999999995,8.572412
SUM,13452.852198130098,11190,18.711756514819967,763.72095,70.13029499999999,10.720509250049734,1.6180624627014124,47.357195999999995,8.572412
WIN,17987.65106583812,11190,3.0044835994651145,760.0613,84.33053000000002,10.837331865020056,1.4767560764571699,47.357195999999995,8.572412
AUT,23266.33688076145,7716,12.003597391890883,764.003,77.84125999999998,11.508806115566216,1.8785130780184367,47.382084,8.54885
SPR,19088.886924558024,7716,10.332924908104324,759.55365,69.28514,13.75844565027131,2.2072466304918605,47.382084,8.54885
SUM,18147.6177868296,7716,18.75254582484725,764.5902,67.520935,10.954740891604436,1.9114052953156824,47.382084,8.54885
WIN,32077.343009084867,7716,3.002437403057833,760.82855,83.29725,11.220141812541547,1.6136716153334811,47.382084,8.54885
AUT,19157.05920457252,6366,10.47482733984282,762.6964,81.296265,10.6440104786854,1.4885925220290546,47.391417,8.478164
SPR,13601.888358286009,6366,12.687661331956631,762.2116,66.78485,11.674625709860608,2.02194114610222,47.391417,8.478164
SUM,17116.542695743563,6366,19.345375722543352,763.8895,64.856606,11.260509721492381,1.9495533368365736,47.391417,8.478164
WIN,22335.462372694747,6366,3.219460500963391,760.67883,82.57294499999998,10.851169832094689,1.5356179466006057,47.391417,8.478164
AUT,19938.086905598502,9551,13.219489341766222,763.23724,78.30663,12.728742094167252,2.048254860623097,47.368603,8.500416999999999
SPR,17086.079925650556,9551,9.815613382899626,760.6973,70.77844,12.341263940520447,2.1516728624535317,47.368603,8.500416999999999
SUM,13284.277369439067,9551,20.364023210831718,763.6784700000002,66.72921,12.182591876208901,1.8088974854932305,47.368603,8.500416999999999
WIN,24115.809560229438,9551,3.4151051625239006,760.62585,83.37476,11.101147227533462,1.3933078393881453,47.368603,8.500416999999999
AUT,24093.700141442714,3131,16.502121640735506,764.49506,71.58133000000002,11.217821782178216,1.1753889674681754,47.415268,8.578956999999999
SPR,14417.370165745857,3131,13.447513812154696,761.847,63.232044,13.121546961325967,2.596685082872928,47.415268,8.578956999999999
SUM,14563.663230240547,3131,17.532646048109967,765.9979,71.484535,11.415807560137456,2.0962199312714778,47.415268,8.578956999999999
WIN,18929.22330097088,3131,2.1310679611650487,761.466,91.70874,7.087378640776699,1.1310679611650485,47.415268,8.578956999999999
AUT,19623.167833333333,8266,10.469083333333334,762.3235,81.90191999999998,10.89875,1.5419999999999998,47.377936,8.514816
SPR,14784.727113190991,8266,12.075168177829775,762.1774,68.96403000000001,12.949985375840885,2.09037730330506,47.377936,8.514816
SUM,13699.23092926491,8266,18.602288488210817,764.0603,68.39817,11.219486823855755,1.764678687008784,47.377936,8.514816
WIN,21973.680545007814,8266,3.0512396694214874,760.4147,83.92638000000002,10.950145186508825,1.4011168192986374,47.377936,8.514816
AUT,20350.555077284287,4567,10.795343377029937,764.0,79.5089,11.368225396204267,1.8888671492858544,47.404897999999996,8.573720999999999
SPR,13551.091878589008,4567,9.803117309269894,759.3,69.51476,13.063986874487286,2.136587366694012,47.404897999999996,8.573720999999999
SUM,15607.297181208054,4567,19.376912751677853,763.9627,67.12994,11.483221476510069,1.914093959731544,47.404897999999996,8.573720999999999
WIN,30871.695867768594,4567,3.0466483011937564,760.84296,84.22570999999998,11.130394857667588,1.5480257116620753,47.404897999999996,8.573720999999999
AUT,17494.075715604802,11913,12.013850415512463,762.4831,80.83655999999998,12.6398891966759,2.1505078485687905,47.352011,8.576338999999999
SPR,27569.647787610626,11913,8.379646017699113,760.48175,74.58495,11.730973451327431,1.82566371681416,47.352011,8.576338999999999
SUM,12709.785831960462,11913,18.75535420098847,763.63806,69.773476,11.28006589785832,1.64497528830313,47.352011,8.576338999999999
WIN,17627.94901098901,11913,2.9876923076923076,760.00726,84.47033,10.871208791208794,1.4654945054945054,47.352011,8.576338999999999
AUT,15240.06576543661,8105,10.843989769820972,761.83026,82.30033,11.395688710266715,1.7025940811107052,47.378972999999995,8.492562999999999
SPR,13157.576190476191,8105,9.202380952380953,760.6538,69.61191,12.959523809523807,2.421428571428572,47.378972999999995,8.492562999999999
SUM,10516.470394736842,8105,18.069627192982455,764.06934,70.4989,10.848684210526317,1.6524122807017545,47.378972999999995,8.492562999999999
WIN,20118.72942442173,8105,2.984758830912677,760.26044,84.52304000000002,10.884167114936345,1.2926304464766003,47.378972999999995,8.492562999999999
AUT,16608.296052631584,11160,11.389473684210527,766.18353,78.77631,10.917105263157897,1.5671052631578948,47.357195999999995,8.533142
SPR,9492.288888888888,11160,9.718518518518517,762.923,79.022224,11.814814814814815,1.9925925925925927,47.357195999999995,8.533142
SUM,13544.310118265439,11160,21.28515111695138,762.33417,67.62089499999999,13.38173455978975,1.7483574244415243,47.357195999999995,8.533142
WIN,19241.22752585521,11160,3.2291169451073984,760.7739,89.593475,10.818615751789977,1.0525059665871122,47.357195999999995,8.533142
AUT,17962.763776763775,11915,11.855036855036854,762.5292,81.23060600000002,12.208143208143207,2.1091611091611093,47.352011,8.578956999999999
SPR,24671.37196037226,11915,8.960372260582409,760.9615,73.69799,12.052836985890124,1.7715400780546382,47.352011,8.578956999999999
SUM,12499.763625932299,11915,18.746987951807228,763.7813,69.51778399999999,11.237808376362594,1.6290877796901893,47.352011,8.578956999999999
WIN,17758.450498970382,11915,3.0215428480912405,760.1382,84.386185,10.817044194519246,1.4696657690479962,47.352011,8.578956999999999
AUT,16440.055481155538,10605,12.05375932657356,762.4617,80.92577,12.261144059690073,2.0501243543141383,47.361343999999995,8.560630999999999
SPR,16094.937187326292,10605,8.699833240689271,760.8107,74.580505,11.625717991476742,1.8195293681675004,47.361343999999995,8.560630999999999
SUM,15195.441053860264,10605,18.983658495914625,763.6717,69.07737,11.073036518259132,1.6544939136234784,47.361343999999995,8.560630999999999
WIN,20245.92517206033,10605,2.9760579879923856,760.1146,84.31549,10.978767022990189,1.4733489529945818,47.361343999999995,8.560630999999999
AUT,20394.420560747665,4110,12.128504672897195,762.4731400000002,81.09813,12.497663551401873,2.086448598130841,47.408009,8.540996
SPR,20970.29464285714,4110,8.839285714285714,760.63214,74.24554,11.053571428571427,1.7834821428571428,47.408009,8.540996
SUM,16785.539215686276,4110,18.766666666666666,763.6410000000002,69.619606,10.633333333333333,1.7058823529411764,47.408009,8.540996
